Q,A,label
재밌는 이야기 해주세요 ,들리는 소문에 의하면 기숙사 자판기의 구운감자와 학교자판기의 구운감자와 가격차이가 있었다고 합니다,0
학교생활에 도움이 될 만한 정보를 주세요,공부는 계획하지 않아도 생기부는 계획을 한 번 짜보십시오,1
저녁에 도서관을 어떻게 써야 하나요?,도서관 끝나는 시간을 물어봐서 그 시간 전에 갑시다,1
어떤 점이 힘든가요?,과제가 진짜 많습니다 그러나 모두 생기부를 위한 것이니 열심히 하세요,1
저희에게 경고할 점이 있나요?,모든 일을 끝낸 것 처럼 느껴질 땐 큰사넷에 들어가서 다시 한번 확인해 보세요,1
충남삼성고에서 면학시간을 효율적으로 보내려면 어떻게 해야하나요?,면학시간에 자지 말고 쉬는 시간 등에 자세요 원래 공부해야 할 때 안 자기만 해도 충분히 공부할 수 있어요,1
충남삼성고 학생은 현장체험학습을 에버렌드로 가면 무료로 갈 수 있나요?,현장체험학습이라고는 3학년 때 한 번 갑니다 수고하세요,1
FB리그 하나요?,합니다,1
체육대회 하나요?,합니다,1
언어와 매체 부교재가 뭔가요?,8기 기준 수능 기출의 미래입니다,1
충남삼성고 학생들은 애플보다 삼성을 더 많이 쓰나요?,정확한 통계를 내보진 않았지만 애플이 더 많은 것 같습니다,1
우리 학교가 넓은데 동선 꿀팁을 주세요,4층에서 1층까지 빨리가는 법  N동 계단으로 2층까지 내려간 다음에 중앙계단에서 1층으로 가면 빠르게 충무관에 갈 수 있습니다 근데 사실상 몇 개월 다니시다 보면 최적화가 되어서 스스로 최단 거리 찾게 되어있습니다,1
학교 생활에 대해 조언할 점을 알려주세요,진로 관련 책 시간 날 때 읽어보기 나중에 진로 관련 책 읽고 쓰는 수행평가가 많아서 미리 읽으면 내용이 풍성해질 수 있죠,1
대회에 나가야 하나요?,IT의 경우 나가면서 경험도 쌓고 실력도 충분히 쌓을 수 있는 멘토링 받을 수 있는 기회도 오는 등 많은 이득이 있으며 가장 중요한 것은 생기부에 잘 녹이기 입니다,1
간식이 필요할까요?,간식 꼭 들고오세요 기숙사 생활할 때 배고픕니다 라면도요,1
라면 끓일 뜨거운 물 잘 나와요?,잘 나오는데 가끔씩 안 나옵니다 꼭 손 넣고 바로 뺄 정도이면 쓰세요 그 외에는 잘 안 익어서 스낵면이 진짜 물에 약간 불은 스낵이 될지도 모릅니다 경고했어요!,1
기숙사에 벌레가 나오나요?,고층에는 별로 없는데 저층에는 많다는 소문이 있습니다,1
친구를 사귀고 싶은데 애들이 잘 대해줄까요?,우리 학교 충분히 골고루 친해질 수 있습니다,1
체력적으로 힘들어요?,진짜 힘듭니다 쉬는시간마다 걸어다녀야 해요,1
디플로마를 취득하지 않고 졸업하게 되면 어떤 일이 발생하게 되나요?,수치심과 박탈감을 느끼게 됩니다,1
관찰 쪽지를 받는다면 불이익이 있나요? 관찰 쪽지를 많이 받으면 어떻게 되는 건가요?, 봉사활동 선정과 기숙사 신청 등의 학교에서 진행하는 여러 행사 참여에 제외되거나 선정되지 못하는 등의 불이익이 발생할 수도 있다고 합니다 선생님들의 부정적인 인식은 덤,1
충남삼성고의 사명은 뭡니까?,학생들에게 인류의 행복증진과 세계평화를 위한 꿈을 갖도록 한다,1
충남삼성고 사명이 뭐죠?,다양하고 깊이 있는 과목과 다양한 활동을 학생들에게 제공한다 자신의 진로에 맞는 과목과 활동을 학생들 스스로 선택하여 적극적으로 참여하도록 돕는다,1
충남삼성고 이념이 뭐죠?,바른품성 창의력 리더십을 겸비한 GLOBAL 미래인재 육성입니다,1
충남삼성고에서 가장 중요한 것이 뭐죠?,자율 창의 품격입니다,2
충남삼성고 사명선언 중 하나 알려주세요,학생들의 체력 도덕성 지적 정서적 능력을 최대한 개발하여 자신의 이상을 실현할 수 있는 진로 선택과 진학을 할 수 있도록 한다,2
교훈이 뭐죠?,자율 창의 품격입니다,2
학생과 교사의 비율을 알려주세요,학생과 교사 비율은 10대 1 2020학년도 기준,2
우리 학교 무슨 교실이 있죠?,정규교실 47개 대강의실 3개 소강의실 3개 시청학습 공간 객실 2개 세미나실 4개 토론토의실 2개 스터디룸 6개 면학실 3개 실험실물리실험실 파동 과학 실험실 고급물리학 실험실 화학실험실 첨단실험연구실 생물실험실프로젝트실 실험실 Open Lab 실험준비실IT공학실 멀티미디어실 융합기술실 창의공학실 실습실 공작기계실습실 FAB LAB 가정실습실 스튜디오 영상제작실 음악실 음악연습실 6개 미술실 디자인실 CNSA 갤러리 실내체육관 무용실 무도실활동시설이 있습니다,2
우리 학교의 특별한 행사가 있나요?,1학년 때 꼭 해야하는 MSMP가 있습니다,2
MSMP가 뭔가요?,Miracle of Sixty-six days Melting pot의 약자로 66일 동안 기초 생활 학습 습관을 개선하고 인성 교육의 기초를 다지는 교육 프로그램입니다 신입생 전원 MSMP 기간 내 원칙적으로 외출 외박 불허 입니다,2
필수적으로 기숙사 생활을 하나요?,합니다 왜나햐면 입학 전 중학교 3학년까지의 잘못된 생활 습관 배제 및 사교육 차단을 위해서입니다,2
모닝스파크가 뭐죠?,모닝스파크란 매일 6시 50분 부터 7시 30분까지 아침운동과 묵상하는 시간으로 규칙적 생활과 채력향상을 도모할 수 있습니다,2
1학년 때 기숙사 생활이 필수인가요?,필수입니다,2
기숙사 생활을 하면 어떤 도움이 되죠?,4인 공동체 생활을 통해 상호 배려심과 사회성을 함양할 수 있습니다,2
축제를 하나요?,합니다,2
벚꽃제가 뭐죠?,입학 이후 MSMP 기간동안 만나지 못했던 가족들과 재회하여 교류하며 화합하는 행사입니다 학생들에게 떨어져 있는 기간 동안 가족에 대한 감사한 마음을 표현하는 기회를 제공합니다,2
1인 1기는 무엇인가요?,예술 체육 분야의55개 종목으로 구성되어 전문화된 평생의 특기를 배우는시간입니다,2
첨단 장비를 활용한 탐구 수업은 무엇이 있나요?,우수한 과학인재가 과학적 창의성과 잠재력이 발휘할 수 있도록 최대의 시설과 실험기자재를 지원하고 있습니다 특히 과목별 실험실 및 개인별로 사용할 수 있는 실험기자재를 보유하고 있으며 대학교 수준의 연구 분석이 가능한 첨단 과학 분석실을 두고 있습니다,2
메이커 교육이 무엇인가요?,FAB LAB이라는 아이디어 공작소에서 전자·기계·SW 융합 시제품 창작 제작 활동을 진행합니다 학교 환경을 개선하는 활동으로 디자인씽킹을 통해 가구를 제작하고 Illustrator Photoshop 라이노 3D 프린터 레이저 커팅기를 활용하여 디자인 작품을 설계하고 로봇 하드웨어를 구현하는 활동을 진행하고 있습니다,2
IT인재 육성을 위한 프로그램에는 무엇이 있나요?,Coding 교육을 위한 컴퓨터 공학실이 설치되어 PBL라는 Project based learningd의 방식으로 자신의 포트폴리오를 작성합니다 나아가 첨단 IT 장비와 소프트웨어를 활용하는 진로 연계 학과 육성 동아리를 운영하여 IT인재를 육성하고 있습니다,2
체력과 건강을 기초로 한 교육에는 무엇이 있나요?,학교장배 무도대회란 태권도와 유도와 검도와 펜싱 종목의 경연 및 경기를 실시합니다,2
전문 과목이 궁금합니다,교육과정에 준한 필수 6학기 정규 수업 편성과 4단위의 심화 과목 및 전문 과목을 통해 학생 선택의 폭이 넓어지고 전문적인 교육이 가능합니다,2
cnsa 모의 Un이 무엇인가요?,CNSA 모의 UN이라는 것을 시행하는데 각국의 대표가 되어 세계문제를 하는 기회로 활용합니다,2
CNSA 바칼로레아란?,철학적 사고력과 논리적 서술력 제고 근본적 문제를 고민하는 기회로 활용합니다,2
학생자치법정이란?,학교생활의 기초 질서 확립에 자발적으로 참여하고 민주적 절차에 따라 선도 활동을 함으로써 민주시민으로서 기본 생활 습관 방식을 체득합니다,2
큰사 고전아카데미란?,동서양의 고전 이해를 통한 인성과 품격과 사고력을 향상합니다,2
큰사 콘서트는 무엇인가요?,피아노 독주와 바이올린 독주와 기타 앙상블과 밴드와 오케스트라 등의 다양한 퍼포먼스로 구성됩니다,2
큰사 갤러리는 무엇인가요?,미술과 디자인 수업의 창작물을 연 2회 전시 합니다,2
큰사 영화제는 무엇인가요?,학생들이 영화수업에서 제작한 단편 영화와 다큐멘터리 등을 상영하는 행사입니다,2
