Q,A,label
"시간 간격을 두고 led 세개가 번갈아 켜졌다가 꺼지는 코드 만들어줘",일정 시간을 간격으로 led 세개가 번갈아 켜졌다가 꺼지는 코드를 만들어 드릴게요,3
"시간 간격을 두고 led 세개가 순서대로 켜졌다가 꺼지는 코드 만들어줘",일정 시간을 간격으로 led 세개가 번갈아 켜졌다가 꺼지는 코드를 만들어 드릴게요,3
"시간 간격을 두고 led 세개가 동시에 켜졌다가 꺼지는 코드 만들어줘",일정 시간을 간격으로 led 세개가 동시에 켜졌다가 꺼지는 코드를 만들어 드릴게요,3
"시간 간격을 두고 led 세개가 번갈아 깜박이는 코드 만들어줘",일정 시간을 간격으로 led 세개가 번갈아 켜졌다가 꺼지는 코드를 만들어 드릴게요,3
"시간 간격을 두고 led 세개가 순서대로 깜박이는 코드 만들어줘",일정 시간을 간격으로 led 세개가 번갈아 켜졌다가 꺼지는 코드를 만들어 드릴게요,3
"시간 간격을 두고 led 세개가 동시에 깜박이는 코드 만들어줘",일정 시간을 간격으로 led 세개가 동시에 켜졌다가 꺼지는 코드를 만들어 드릴게요,3
"led 세개가 번갈아 켜졌다가 꺼지는 코드 만들어줘",일정 시간을 간격으로 led 세개가 번갈아 켜졌다가 꺼지는 코드를 만들어 드릴게요,3
"led 세개가 순서대로 켜졌다가 꺼지는 코드 만들어줘",일정 시간을 간격으로 led 세개가 번갈아 켜졌다가 꺼지는 코드를 만들어 드릴게요,3
"led 세개가 동시에 켜졌다가 꺼지는 코드 만들어줘",일정 시간을 간격으로 led 세개가 동시에 켜졌다가 꺼지는 코드를 만들어 드릴게요,3
"led 세개가 번갈아 깜박이는 코드 만들어줘",일정 시간을 간격으로 led 세개가 번갈아 켜졌다가 꺼지는 코드를 만들어 드릴게요,3
"led 세개가 순서대로 깜박이는 코드 만들어줘",일정 시간을 간격으로 led 세개가 번갈아 켜졌다가 꺼지는 코드를 만들어 드릴게요,3
"led 세개가 동시에 깜박이는 코드 만들어줘",일정 시간을 간격으로 led 세개가 동시에 켜졌다가 꺼지는 코드를 만들어 드릴게요,3
"삼색 led를 이용하여 일정 시간을 간격으로 깜박이는 코드 만들어줘",삼색 led를 이용하여 일정 시간을 간격으로 깜박이는 코드를 만들어 드릴게요,3
